Id,Name,ExampleImageUrl,WikiLink
1,Beaked whale,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Berardius_bairdii.jpg/1599px-Berardius_bairdii.jpg?20151221184110,https://en.wikipedia.org/wiki/Beaked_whale
2,Beluga whale,https://upload.wikimedia.org/wikipedia/commons/e/e8/Oceanogr%C3%A0fic_29102004.jpg,https://en.wikipedia.org/wiki/Beluga_whale
3,Blue whale,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Anim1754_-_Flickr_-_NOAA_Photo_Library.jpg/2560px-Anim1754_-_Flickr_-_NOAA_Photo_Library.jpg,https://en.wikipedia.org/wiki/Blue_whale
4,Bowhead whale,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Bowhead_Whale_NOAA.jpg/2560px-Bowhead_Whale_NOAA.jpg,https://en.wikipedia.org/wiki/Bowhead_whale
5,Bryde's whale,https://upload.wikimedia.org/wikipedia/commons/3/35/Balaenoptera_brydei.jpg,https://en.wikipedia.org/wiki/Bryde%27s_whale
6,Fin whale,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Finhval_%281%29.jpg/2560px-Finhval_%281%29.jpg,https://en.wikipedia.org/wiki/Fin_whale
7,Gray whale,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Ballena_gris_adulta_con_su_ballenato.jpg/2560px-Ballena_gris_adulta_con_su_ballenato.jpg,https://en.wikipedia.org/wiki/Gray_whale
8,Humpback whale,https://upload.wikimedia.org/wikipedia/commons/6/61/Humpback_Whale_underwater_shot.jpg,https://en.wikipedia.org/wiki/Humpback_whale
9,Killer whale,https://upload.wikimedia.org/wikipedia/commons/3/37/Killerwhales_jumping.jpg,https://en.wikipedia.org/wiki/Orca
10,Minke whale,https://upload.wikimedia.org/wikipedia/commons/d/d9/Minke_Whale_%28NOAA%29.jpg,https://en.wikipedia.org/wiki/Minke_whale
11,Narwhal,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/%D0%9D%D0%B0%D1%80%D0%B2%D0%B0%D0%BB_%D0%B2_%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%BE%D0%B9_%D0%90%D1%80%D0%BA%D1%82%D0%B8%D0%BA%D0%B5.jpg/1280px-%D0%9D%D0%B0%D1%80%D0%B2%D0%B0%D0%BB_%D0%B2_%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%BE%D0%B9_%D0%90%D1%80%D0%BA%D1%82%D0%B8%D0%BA%D0%B5.jpg,https://en.wikipedia.org/wiki/Narwhal
12,Pilot whale,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Pilot_whale.jpg/1920px-Pilot_whale.jpg,https://en.wikipedia.org/wiki/Pilot_whale
13,Right whale,https://upload.wikimedia.org/wikipedia/commons/e/e2/Southern_right_whale.jpg,https://en.wikipedia.org/wiki/Right_whale
14,Sei whale,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Sei_whale_mother_and_calf_Christin_Khan_NOAA.jpg/1280px-Sei_whale_mother_and_calf_Christin_Khan_NOAA.jpg,https://en.wikipedia.org/wiki/Sei_whale
15,Sperm whale,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Mother_and_baby_sperm_whale.jpg/1920px-Mother_and_baby_sperm_whale.jpg,https://en.wikipedia.org/wiki/Sperm_whale
16,Other/unknown,https://cdn1.vectorstock.com/i/thumb-large/32/75/cartoon-curious-whale-and-speech-bubble-sticker-vector-26423275.jpg,https://en.wikipedia.org/wiki/Whale